bits,group,rb,rc,rdt,layer_mode,ppl
8,128,4,16,48,late,100.1691
8,128,4,16,48,all,470.0823
8,128,4,16,36,early,26.8451
8,128,4,16,36,mid,31.5385
8,128,4,16,36,late,148.8135
8,128,4,16,36,all,521.0341
8,128,4,16,24,early,27.3894
8,128,4,16,24,mid,32.6664
8,128,4,16,24,late,197.6960
8,128,4,16,24,all,630.4886
8,128,4,8,48,early,33.1185
8,128,4,8,48,mid,39.4239
8,128,4,8,48,late,952.9399
8,128,4,8,48,all,288068.1562
8,128,4,8,36,early,34.0230
8,128,4,8,36,mid,40.3243
8,128,4,8,36,late,617.1777
8,128,4,8,36,all,146620.3906
8,128,4,8,24,early,35.2309
8,128,4,8,24,mid,41.2969
8,128,4,8,24,late,695.6977
8,128,4,8,24,all,150377.0781
8,128,4,4,48,early,34.5119
8,128,4,4,48,mid,44.5995
8,128,4,4,48,late,75013.4609
8,128,4,4,48,all,1531269.5000
8,128,4,4,36,early,35.5137
8,128,4,4,36,mid,45.2678
8,128,4,4,36,late,9051.2285
8,128,4,4,36,all,375503.6250
8,128,4,4,24,early,36.8085
8,128,4,4,24,mid,46.0249
8,128,4,4,24,late,8946.5381
8,128,4,4,24,all,478038.2500
8,256,16,16,48,early,25.1275
8,256,16,16,48,mid,25.1317
8,256,16,16,48,late,25.1331
8,256,16,16,48,all,25.1304
8,256,16,16,36,early,25.3459
8,256,16,16,36,mid,25.6531
8,256,16,16,36,late,96.7596
8,256,16,16,36,all,88.1984
8,256,16,16,24,early,25.6879
8,256,16,16,24,mid,26.4355
8,256,16,16,24,late,146.6311
8,256,16,16,24,all,106.9229
8,256,16,8,48,early,29.1544
8,256,16,8,48,mid,32.1280
8,256,16,8,48,late,44.2005
8,256,16,8,48,all,177.1605
8,256,16,8,36,early,29.8295
8,256,16,8,36,mid,33.1045
8,256,16,8,36,late,89.6762
8,256,16,8,36,all,215.1988
8,256,16,8,24,early,30.7373
8,256,16,8,24,mid,34.4361
8,256,16,8,24,late,131.6992
8,256,16,8,24,all,259.7490
8,256,16,4,48,early,31.9720
8,256,16,4,48,mid,38.6623
8,256,16,4,48,late,777.0596
8,256,16,4,48,all,4828.2842
8,256,16,4,36,early,32.8362
8,256,16,4,36,mid,39.6845
8,256,16,4,36,late,700.6364
8,256,16,4,36,all,4146.2827
8,256,16,4,24,early,33.9647
8,256,16,4,24,mid,40.8189
8,256,16,4,24,late,807.6055
8,256,16,4,24,all,5578.8589
8,256,8,16,48,early,25.8692
8,256,8,16,48,mid,27.3017
8,256,8,16,48,late,38.0265
8,256,8,16,48,all,80.9835
8,256,8,16,36,early,26.2183
8,256,8,16,36,mid,28.1026
8,256,8,16,36,late,104.1446
8,256,8,16,36,all,127.2843
8,256,8,16,24,early,26.6884
8,256,8,16,24,mid,29.1036
8,256,8,16,24,late,157.9839
8,256,8,16,24,all,164.9458
8,256,8,8,48,early,31.4935
8,256,8,8,48,mid,34.8262
8,256,8,8,48,late,172.9248
8,256,8,8,48,all,11593.9785
8,256,8,8,36,early,32.3546
8,256,8,8,36,mid,35.8028
8,256,8,8,36,late,216.0436
8,256,8,8,36,all,10975.3877
8,256,8,8,24,early,33.4687
8,256,8,8,24,mid,37.0047
8,256,8,8,24,late,294.0490
8,256,8,8,24,all,13008.9580
8,256,8,4,48,early,33.3167
8,256,8,4,48,mid,40.9456
8,256,8,4,48,late,3242.9883
8,256,8,4,48,all,50432.3555
8,256,8,4,36,early,34.2686
8,256,8,4,36,mid,41.8929
8,256,8,4,36,late,1609.6136
8,256,8,4,36,all,29814.4004
8,256,8,4,24,early,35.4784
8,256,8,4,24,mid,42.9519
8,256,8,4,24,late,1807.8724
8,256,8,4,24,all,41554.8086
8,256,4,16,48,early,26.4561
8,256,4,16,48,mid,30.6525
8,256,4,16,48,late,100.3329
8,256,4,16,48,all,472.1049
8,256,4,16,36,early,26.8458
8,256,4,16,36,mid,31.5350
8,256,4,16,36,late,149.0605
8,256,4,16,36,all,521.4424
8,256,4,16,24,early,27.3897
8,256,4,16,24,mid,32.6600
8,256,4,16,24,late,199.0781
8,256,4,16,24,all,632.4129
8,256,4,8,48,early,33.1205
8,256,4,8,48,mid,39.4711
8,256,4,8,48,late,962.2728
8,256,4,8,48,all,299921.9688
8,256,4,8,36,early,34.0253
8,256,4,8,36,mid,40.3713
8,256,4,8,36,late,621.1102
8,256,4,8,36,all,152578.3281
8,256,4,8,24,early,35.2352
8,256,4,8,24,mid,41.3380
8,256,4,8,24,late,701.1401
8,256,4,8,24,all,156088.9531
8,256,4,4,48,early,34.5188
8,256,4,4,48,mid,44.6042
8,256,4,4,48,late,76413.0547
8,256,4,4,48,all,1549792.5000
8,256,4,4,36,early,35.5215
8,256,4,4,36,mid,45.2725
8,256,4,4,36,late,9072.6006
8,256,4,4,36,all,376098.8750
8,256,4,4,24,early,36.8168
8,256,4,4,24,mid,46.0242
8,256,4,4,24,late,8953.9385
8,256,4,4,24,all,477177.8438
4,64,16,16,48,early,25.1747
4,64,16,16,48,mid,25.2658
4,64,16,16,48,late,25.4081
4,64,16,16,48,all,25.5755
4,64,16,16,36,early,25.3440
