quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,128,8,4,6,early,38.4857
hadamard,8,128,8,4,6,mid,45.4236
hadamard,8,128,8,4,6,late,1935.2942
hadamard,8,128,8,4,6,all,58601.4492
hadamard,8,128,4,16,48,early,26.4571
hadamard,8,128,4,16,48,mid,30.6751
hadamard,8,128,4,16,48,late,100.3996
hadamard,8,128,4,16,48,all,471.6288
hadamard,8,128,4,16,36,early,26.8442
hadamard,8,128,4,16,36,mid,31.5582
hadamard,8,128,4,16,36,late,148.2626
hadamard,8,128,4,16,36,all,522.6747
hadamard,8,128,4,16,24,early,27.3893
hadamard,8,128,4,16,24,mid,32.6919
hadamard,8,128,4,16,24,late,197.8639
hadamard,8,128,4,16,24,all,632.9756
hadamard,8,128,4,16,12,early,28.2197
hadamard,8,128,4,16,12,mid,34.3958
hadamard,8,128,4,16,12,late,251.4189
hadamard,8,128,4,16,12,all,816.8024
hadamard,8,128,4,16,6,early,29.1827
hadamard,8,128,4,16,6,mid,35.9968
hadamard,8,128,4,16,6,late,263.5636
hadamard,8,128,4,16,6,all,960.1978
hadamard,8,128,4,8,48,early,33.1040
hadamard,8,128,4,8,48,mid,39.4339
hadamard,8,128,4,8,48,late,954.2258
hadamard,8,128,4,8,48,all,287432.5938
hadamard,8,128,4,8,36,early,34.0096
hadamard,8,128,4,8,36,mid,40.3352
hadamard,8,128,4,8,36,late,616.3628
hadamard,8,128,4,8,36,all,146678.5781
hadamard,8,128,4,8,24,early,35.2197
hadamard,8,128,4,8,24,mid,41.3150
hadamard,8,128,4,8,24,late,696.6448
hadamard,8,128,4,8,24,all,150879.8594
hadamard,8,128,4,8,12,early,36.5667
hadamard,8,128,4,8,12,mid,42.7393
hadamard,8,128,4,8,12,late,783.4893
hadamard,8,128,4,8,12,all,147512.9688
hadamard,8,128,4,8,6,early,38.0808
hadamard,8,128,4,8,6,mid,43.9477
hadamard,8,128,4,8,6,late,788.3558
hadamard,8,128,4,8,6,all,154283.1250
hadamard,8,128,4,4,48,early,34.5379
hadamard,8,128,4,4,48,mid,44.6175
hadamard,8,128,4,4,48,late,72943.1250
hadamard,8,128,4,4,48,all,1479187.6250
hadamard,8,128,4,4,36,early,35.5390
hadamard,8,128,4,4,36,mid,45.2809
hadamard,8,128,4,4,36,late,8884.0039
hadamard,8,128,4,4,36,all,367869.0000
hadamard,8,128,4,4,24,early,36.8372
hadamard,8,128,4,4,24,mid,46.0446
hadamard,8,128,4,4,24,late,8788.2510
hadamard,8,128,4,4,24,all,466553.6562
hadamard,8,128,4,4,12,early,38.2950
hadamard,8,128,4,4,12,mid,47.1813
hadamard,8,128,4,4,12,late,8896.2041
